[02:34:18] [main/INFO]: ModLauncher running: args [--username, RedRanger5577, --version, Sky High, --gameDir, C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High, --assetsDir, C:\Users\one\AppData\Roaming\.minecraft\assets, --assetIndex, 1.19, --uuid, ed8ee4031c614ae1b390b38e808c3315, --accessToken, ????????, --clientId, ${clientid}, --xuid, ${auth_xuid}, --userType, mojang, --versionType, release, --width, 925, --height, 530, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.8, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[02:34:18] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[02:34:20] [main/INFO]: Found mod file bettershears3-1.19.2-3.1.6_RELEASE.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file blueprint-1.19.2-6.1.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Book+Fishing+1.0.0+-+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.2.18.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Botania-1.19.2-438-FORGE.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file carryon-forge-1.19.2-2.0.5.10.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file catalogue-1.7.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file citadel-2.1.2-1.19.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file cloth-config-8.2.88-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file CobbleForDays-1.6.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file CodeChickenLib-1.19.2-4.3.1.481-universal.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file cofh_core-1.19.2-10.2.1.40.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file collective-1.19.2-6.53.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file comforts-forge-6.0.4+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file CorgiLib-forge-1.19.2-1.0.0.32.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file coroutil-1.19.2-1.2.37.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file CosmeticArmorReworked-1.19.2-v1a.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file cpm-svc-compat-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Create+Deco+Casing+2.0.0+1.19.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file create-1.19.2-0.5.0.i.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file create_central_kitchen-1.19.2-for-create-0.5.0.i-1.2.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file create_enchantment_industry-1.19.2-for-create-0.5.0.i-1.1.15.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file createaddition-1.19.2-20230315b.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file createbigcannons-1.19.2-beta-0.5.b.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file createsifter-1.19.2-1.4.0.i.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file CreativeCore_FORGE_v2.9.2_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file creeper_firework-1.19.2-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file creeperoverhaul-2.0.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Cucumber-1.19.2-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.3.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file curiotiab-1.19.2-1.4.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file CustomPlayerModels-1.19-0.6.7a.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file deeperdarker-forge-1.1.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file DetailArmorBar-2.6.4+1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file DrippedOut-1.19.2-2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file dummmmmmy-1.19.2-1.7.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file dynamiclightsreforged-1.19.2_v1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file eatinganimation-1.19-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file effective_fg-1.3.4.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file effortlessbuilding-1.19.2-3.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file emotecraft-for-MC1.19.2-2.2.7-b.build.48-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Enhanced_Celestials-forge-1.19.2-2.1.0.5.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file enlightend-1.19.2-v5.0.0.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ExNihiloAE-1.19.2-4.1.0.52-beta.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ExNihiloSequentia-1.19.2-4.1.0.55-beta.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file expandability-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file extendedbonemeal-1.19.2-3.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file extendedmushrooms-1.19.2-3.0.1.4.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ExtendedVillagerTrades-v1.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file fantasyfurniture-1.19.2-6.7.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file FarmersDelight-1.19-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file FarmersRespite-1.19-2.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file FastSuite-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file flywheel-forge-1.19.2-0.6.8.a.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file forgeautofish-5.0.2-1.19.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Forgiveness-1.19.2-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file forgivingvoid-forge-1.19-7.0.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file freecam-forge-1.1.6+1.19.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file friendsandfoes-forge-mc1.19.2-1.8.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ftb-library-forge-1902.3.16-build.193.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ftb-ultimine-forge-1902.4.0-build.77.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file gardenofglass-1.11.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file goblintraders-1.8.0-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file grappling_hook_mod-1.19.2-1.19.2-v13.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file gravestone-1.19.2-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file HammerLib-1.19.2-19.3.56.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file hourglass-1.19.1-1.2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file immersive_weathering-1.19.2-1.2.9-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ImmersiveEngineering-1.19.2-9.2.0-162.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ImmersiveFX+1.0.0+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ImprovableSkills-1.19.2-19.2.8.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Iron+Fishing+Rods+1.0.0+-+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ItemPhysic_FORGE_v1.6.6_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1013.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file jeimultiblocks-1.19.2-0.0.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file JustEnoughResources-1.19.2-1.2.2.200.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file kubejs-forge-1902.6.0-build.142.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file kubejs-immersive-engineering-1902.2.2-build.40.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file LibX-1.19.2-4.2.8.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file majrusz-library-1.19.2-3.3.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file majruszs-accessories-1.19.2-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file majruszs-difficulty-1.19.2-1.7.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file majruszs-enchantments-1.19.2-1.8.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcskyblock-3.1.8.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcw-doors-1.0.9forge-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcw-furniture-3.1.0-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcw-lights-1.0.5-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcw-paintings-1.0.4-mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcw-trapdoors-1.0.9-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mcw-windows-2.1.1-mc1.19.2forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mobsunscreen-forge-1.19.2-3.0.9.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file moonlight-1.19.2-2.2.27-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file MoreBuckets-1.19.2-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file moredragoneggs-3.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file morezombievillagers-1.19.2-3.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file music_player-1.19.2-2.5.1.202.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file mutil-1.19.2-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file nocube's_create_compact_exp_1.0.1_forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file nocube's_farmers_compats_1.0.0_Forge_1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file oculus-mc1.19.2-1.2.8a.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Oh_The_Biomes_You'll_Go-forge-1.19.2-2.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Oreganized+1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file out_of_sight-1.19.2-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file ParCool-1.19.2-3.0.0.2-R.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Patchouli-1.19.2-77.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file physics-mod-2.11.11-mc-1.19.2-forge.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Placebo-1.19.2-7.1.7.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file player-animation-lib-forge-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file PlayerRevive_FORGE_v2.0.14_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file polymorph-forge-0.46.1+1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file Quark-3.4-395.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file RealisticTorches-1.19.2-3.1.5.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file relics-1.19.2-0.4.2.3.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file resourcefulconfig-forge-1.19.2-1.0.20.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file rhino-forge-1902.2.2-build.264.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
[02:34:20] [main/INFO]: Found mod file rottencreatures-forge-1.19.2-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\one\AppData\Roaming\.minecraft\versions\Sky High\mods}
